crime_type,year,population,crime_count,crime_rate
Assault,2014,3042042,16505,542.5631861756018
Assault,2015,3042042,17850,586.7769084056039
Assault,2016,3042042,18593,611.2012917638875
Assault,2017,3042042,18871,620.3398901132857
Assault,2018,3042042,19608,644.5670375359709
Assault,2019,3042042,20621,677.8670379961881
Assault,2020,3042042,17844,586.5796724700053
Auto Theft,2014,3042042,3486,114.59407858274146
Auto Theft,2015,3042042,3211,105.55409820114252
Auto Theft,2016,3042042,3268,107.42783958932849
Auto Theft,2017,3042042,3502,115.12004107767085
Auto Theft,2018,3042042,4742,155.8821344346988
Auto Theft,2019,3042042,5258,172.84442489617172
Auto Theft,2020,3042042,5624,184.87581696768157
Burglary,2014,3042042,7183,236.1242875673643
Burglary,2015,3042042,6906,227.0185618738992
Burglary,2016,3042042,6405,210.54936125142254
Burglary,2017,3042042,6878,226.09812750777274
Burglary,2018,3042042,7571,248.87887806940208
Burglary,2019,3042042,8446,277.6424520108532
Burglary,2020,3042042,6903,226.91994390609995
Homicide,2014,3042042,58,1.9066140441190491
Homicide,2015,3042042,59,1.939486700052136
Homicide,2016,3042042,75,2.4654491949815287
Homicide,2017,3042042,65,2.1367226356506586
Homicide,2018,3042042,97,3.1886476255094443
Homicide,2019,3042042,79,2.596939818713877
Homicide,2020,3042042,71,2.333958571249181
Robbery,2014,3042042,3645,119.8208308761023
Robbery,2016,3042042,3647,119.88657618796847
Robbery,2017,3042042,3988,131.09615186115116
Robbery,2018,3042042,3632,119.39348634897217
Robbery,2019,3042042,3524,115.84323950819878
Robbery,2020,3042042,2760,90.72853037532026
Shootings,2015,3042042,288,9.46732490872907
Shootings,2016,3042042,407,13.37917096476643
Shootings,2017,3042042,392,12.886081125770124
Shootings,2018,3042042,427,14.036624083428173
Shootings,2019,3042042,492,16.17334671907883
Shootings,2020,3042042,462,15.187167041086218
Theft Over,2014,3042042,992,32.60967468562236
Theft Over,2015,3042042,1035,34.0231988907451
Theft Over,2016,3042042,1029,33.82596295514657
Theft Over,2017,3042042,1162,38.198026194247156
Theft Over,2018,3042042,1230,40.43336679769707
Theft Over,2019,3042042,1371,45.068411284262346
Theft Over,2020,3042042,1212,39.84165899090151
